customer_id,customer_name,customer_email,customer_phone,customer_age,customer_gender
CUST-0001,Amy York,cwilliams@example.com,965-684-1291x532,49,Male
CUST-0002,Susan Mullins,washingtonscott@example.net,+1-941-624-9917x208,31,Male
CUST-0003,Kathryn Blake,anita24@example.com,(421)618-5260x93595,69,Female
CUST-0004,Tammy Huffman,jennifer07@example.net,251.535.9063,45,Male
CUST-0005,Michelle Martinez,jasonchase@example.net,001-325-720-9926x1756,42,Male
CUST-0006,Brandon Brown,charlesrichardson@example.com,(315)497-1969,38,Female
CUST-0007,Taylor Rodriguez,nparker@example.com,(544)801-3237x28904,22,Male
CUST-0008,Keith Alexander,ymorales@example.com,001-423-881-1316x186,33,Male
CUST-0009,Alison Weaver,davisthomas@example.com,001-544-239-4265x14477,79,Male
CUST-0010,Helen Durham,agreen@example.net,+1-936-945-8982x295,54,Male
CUST-0011,Ronald Ballard,christina11@example.net,295-899-8292x92614,52,Male
CUST-0012,Mr. Matthew Mann,richardthompson@example.net,807.330.3459x350,53,Female
CUST-0013,Veronica Gallegos,paulherrera@example.net,(937)200-5077x8949,39,Female
CUST-0014,Kim Houston,matthew58@example.net,001-457-531-6434x4987,34,Female
CUST-0015,Bob Ramirez,johnsonjeremy@example.org,001-780-256-1838x16901,19,Male
CUST-0016,Kimberly Hines,mwilliams@example.org,001-248-930-1318x02139,60,Male
CUST-0017,Sharon Davis,jonesdavid@example.com,(268)444-0561x45628,63,Male
CUST-0018,Mitchell Rivera,khernandez@example.org,764.227.0293,40,Female
CUST-0019,Jill Johnson,claudia14@example.com,366.972.7453,26,Male
CUST-0020,Sonya Oliver,froberson@example.net,8263619328,29,Female
CUST-0021,Jeremy Rasmussen,mcguireashley@example.com,001-893-568-9342x11071,50,Female
CUST-0022,Kimberly Buchanan,averylinda@example.org,394-759-3509x792,22,Male
CUST-0023,Chloe Hartman,becky65@example.net,561-291-9718,34,Female
CUST-0024,Lindsay Vasquez,zacharygardner@example.net,001-999-666-3251x87110,64,Male
CUST-0025,Kim Huang,savannahbryant@example.net,(960)974-5822x925,68,Female
CUST-0026,Courtney Hart,sally38@example.org,462-964-6727x718,31,Male
CUST-0027,Dwayne Aguilar,dlawson@example.com,001-814-999-3386x0838,66,Female
CUST-0028,Judith Johnson,lindseyfreeman@example.com,672-235-5536,20,Male
CUST-0029,Cheryl Martinez,melissa53@example.org,631-601-5955,54,Male
CUST-0030,Margaret Bell,amber33@example.net,001-915-357-1859,52,Male
CUST-0031,Donald Brown,michael58@example.net,-4310,35,Male
CUST-0032,Jose Whitaker,fking@example.org,(232)528-6273,59,Male
CUST-0033,Carlos Villarreal,mgonzalez@example.com,573.236.9552,64,Male
CUST-0034,Dorothy Gibbs,james98@example.net,001-986-849-0826x422,39,Female
CUST-0035,Sonya Bentley,michael97@example.net,(256)463-0025x0856,38,Male
CUST-0036,Renee Walker,nfoster@example.net,9667785447,25,Male
CUST-0037,Brandy Beard,hayden78@example.com,613.797.2389,57,Male
CUST-0038,George Bennett,jordanamy@example.net,(512)472-8718x22882,49,Female
CUST-0039,Gina Harper,kirkmichael@example.org,841-753-0726,68,Male
CUST-0040,Daniel Clark,troy39@example.org,(481)586-8059x95736,40,Female
CUST-0041,Lindsay White,robin71@example.org,604.776.3334,26,Female
CUST-0042,Michael Sutton,james81@example.com,001-334-424-2459x117,78,Female
CUST-0043,Thomas Miranda Jr.,millerstephanie@example.org,001-860-781-3537x3953,79,Male
CUST-0044,Roger Mitchell,jessica70@example.net,624.459.6536,45,Female
CUST-0045,Mark Pham,bryananderson@example.org,001-783-694-4793x4463,33,Female
CUST-0046,Christina Wallace,allenhannah@example.com,001-454-738-6113x9895,52,Female
CUST-0047,Austin Suarez,mlopez@example.net,416.362.8272x19861,64,Male
CUST-0048,Margaret Lopez,mwilson@example.net,573-524-2909,72,Male
CUST-0049,Howard Herrera,timothytorres@example.org,001-572-479-5890x91118,20,Male
CUST-0050,Amanda Prince,nkaiser@example.org,001-211-838-1739x12039,47,Female
CUST-0051,Donna Evans,tanner38@example.net,+1-822-343-9638x1027,70,Female
CUST-0052,Christopher Wyatt,reedbrittney@example.net,+1-640-548-4871x89352,31,Male
CUST-0053,Samantha Campbell,hannah43@example.com,(714)652-0279x58190,50,Male
CUST-0054,Kathleen Roberts,garymoran@example.com,(365)393-4395x3709,77,Female
CUST-0055,Amanda Blevins,stephanie48@example.org,+1-528-984-9650x3588,22,Female
CUST-0056,Sheila Adams,racheljohnson@example.net,673.896.5777,78,Male
CUST-0057,Mark Warner,markpage@example.org,886-628-9895,23,Male
CUST-0058,Carrie Miller,suttonjeffrey@example.net,809.238.5369x97071,48,Female
CUST-0059,Paul Mcclure,camposbrittany@example.net,(627)800-9818,55,Female
CUST-0060,Kathryn Deleon,hamptonamanda@example.com,841.602.6942x51415,26,Male
CUST-0061,Gerald King,lindsay77@example.com,(798)993-8340,34,Female
CUST-0062,Anna Howe,fritzdenise@example.org,001-208-236-3819x201,18,Female
CUST-0063,Wesley Newman,rickyflores@example.net,2484723846,43,Female
CUST-0064,Heather Duke,obowman@example.net,924-463-3514,62,Male
CUST-0065,Amanda Wells,jane16@example.com,(781)761-5951x510,30,Male
CUST-0066,Pamela Hernandez,chanpaul@example.net,001-474-756-6455,46,Female
CUST-0067,Sheila Luna,watsonlawrence@example.net,(664)949-2857,35,Male
CUST-0068,Diana Carter DDS,ksanders@example.net,639.750.4822,19,Male
CUST-0069,Joseph Mcgee,helen09@example.org,+1-837-887-2496x87765,50,Male
CUST-0070,Taylor Reed,elizabeth29@example.com,001-689-291-2391x34229,71,Female
CUST-0071,Brittany Smith,terrybecky@example.com,001-586-217-1572x590,73,Female
CUST-0072,Andrew Davis,holly87@example.com,(671)252-9194x3169,45,Female
CUST-0073,Amy Maynard,tammiejohnson@example.net,475.773.7303,20,Male
CUST-0074,Kimberly Estrada,james63@example.org,790-938-2885,43,Female
CUST-0075,Kaitlyn Brown,jonesaaron@example.org,001-947-596-8559x740,80,Female
CUST-0076,Nancy Fletcher,johnbailey@example.org,001-567-476-6050x78663,34,Female
CUST-0077,Katherine Griffith,ronald96@example.org,(663)456-0077x8629,27,Male
CUST-0078,Cheryl Mercer,jacqueline39@example.com,607.898.9240,50,Male
CUST-0079,Heather Campos,maryorr@example.net,2093656738,63,Male
CUST-0080,William Wu,richard30@example.com,+1-929-376-4538x894,67,Male
CUST-0081,Joel Roman,nmalone@example.org,(299)498-6184,28,Male
CUST-0082,John Hill,amanda60@example.net,(914)338-9092,37,Male
CUST-0083,John Miles,vthompson@example.org,5608323081,23,Male
CUST-0084,Matthew Atkins,gthompson@example.net,001-999-747-6921x8881,52,Female
CUST-0085,Zachary Rich,lindaboyd@example.net,984-342-9498x5629,24,Male
CUST-0086,Rebecca Hughes,brentsmith@example.com,001-312-811-5035x765,68,Female
CUST-0087,Heather Hampton,rileyadam@example.com,(518)958-5537,66,Female
CUST-0088,Barry Hayes,gregorybrown@example.org,+1-869-507-3375x836,69,Female
CUST-0089,Terry Norris,rebeccamartinez@example.net,001-363-657-4236x28956,45,Male
CUST-0090,Angela Mcfarland,eduardosimpson@example.net,280.536.1634x674,56,Female
CUST-0091,Matthew Rivas,hollymason@example.org,330.711.2034,35,Female
CUST-0092,Jessica Johnston,grosslisa@example.org,527-696-1420,72,Male
CUST-0093,Christopher Alexander,andersonbrandon@example.com,9708203950,26,Male
CUST-0094,Christopher King,angelastanton@example.net,001-632-718-9401x932,43,Female
CUST-0095,Natasha Welch,gutierrezjoshua@example.org,869.991.2308,24,Male
CUST-0096,Destiny May,owillis@example.com,920.678.5250,69,Male
CUST-0097,David Vazquez,holly97@example.org,483-232-4305x887,46,Female
CUST-0098,Daniel Johnson,jramirez@example.com,(759)546-4133x89298,47,Male
CUST-0099,Kristin Rhodes,brian11@example.org,001-287-962-8921x9566,54,Female
CUST-0100,Charles Gray,wendyhernandez@example.com,(585)399-4615,66,Male
CUST-0101,Michael Rodriguez,qbradley@example.net,742.414.0127x933,78,Male
CUST-0102,Robin Moran,ljones@example.com,393-426-9826x1038,65,Female
CUST-0103,Maria Potts,amysmith@example.net,583.772.4365,64,Male
CUST-0104,Sean Nunez,craigwaters@example.org,5972442618,72,Male
CUST-0105,Mark Gomez,steven97@example.net,+1-621-836-8166x9257,18,Female
CUST-0106,Daniel Howard,joseph01@example.net,990.874.8643x9524,64,Female
CUST-0107,Jeremy Montgomery,brookskristen@example.com,+1-558-707-8436x3187,59,Male
CUST-0108,Zachary Cox,nunezjoshua@example.net,001-277-711-4682x68063,66,Male
CUST-0109,Janet Clark,sara10@example.org,+1-247-879-9223x5603,79,Female
CUST-0110,Nicole Woods,benjaminjulie@example.net,+1-352-687-4998x70181,63,Female
CUST-0111,Joseph Cooper,bradgallegos@example.org,288-672-8533x931,51,Female
CUST-0112,Christopher Nelson,jay52@example.com,(408)486-0299x90212,18,Male
CUST-0113,Darren Austin,qshaw@example.com,2668057892,79,Female
CUST-0114,Angela Arroyo,christiansummers@example.com,202-927-5236x089,36,Male
CUST-0115,Christina Peterson,jacquelinejordan@example.net,001-706-602-2949x83316,53,Female
CUST-0116,Sharon Shaw,owilcox@example.net,751.994.5616,37,Female
CUST-0117,David Lynch,iwilson@example.org,9219659144,64,Male
CUST-0118,Jacob Ferrell,davidlarson@example.net,719.708.9980x04167,21,Female
CUST-0119,Jennifer Young,cooperamanda@example.com,(676)534-2774,75,Male
CUST-0120,Luis Johnson,rfowler@example.net,254.766.6324,34,Male
CUST-0121,Michael Hernandez,patrickadams@example.com,977-749-9965x865,32,Male
CUST-0122,Kayla Davidson,zclark@example.net,(890)280-0217x3850,49,Female
CUST-0123,Cynthia Miller,zpacheco@example.org,(392)359-0203,61,Male
CUST-0124,Catherine Clark,megancox@example.net,4223648681,66,Male
CUST-0125,Michael Cruz,perkinskevin@example.org,(591)248-6003,65,Male
CUST-0126,Brian Huynh,kathleengutierrez@example.org,535-372-7835x2994,48,Female
CUST-0127,Margaret Mcdaniel,srogers@example.net,(950)922-9439,43,Female
CUST-0128,Leslie Smith,carrie21@example.org,298-974-8435x2812,61,Female
CUST-0129,Donna Mitchell,ihaley@example.org,676-515-3879x351,18,Male
CUST-0130,Lisa Holland,darryl72@example.org,(530)685-1806,24,Male
CUST-0131,Nicole Harrison,dwilliams@example.net,500.781.3629,76,Male
CUST-0132,Lindsey Martinez,prattfrank@example.net,001-214-560-9817x10363,45,Male
CUST-0133,Douglas Williams,burnsamber@example.com,563-605-7834,69,Female
CUST-0134,Brandon Norris,candice89@example.net,362.411.7906x505,44,Male
CUST-0135,Jerry Poole,martinjacob@example.net,(337)755-9000,41,Female
CUST-0136,Samuel Walker,weavernicholas@example.net,765-490-4686,32,Male
CUST-0137,Kelly Reid,zramos@example.com,686.782.0184,75,Female
CUST-0138,Mark Miller,brittanybush@example.net,(217)436-6984x8672,60,Female
CUST-0139,Michael Mathis,monica58@example.com,865.558.3598x66341,18,Female
CUST-0140,Barbara Yoder,patrick18@example.org,001-963-685-5274,58,Male
CUST-0141,Ana Torres,mooneyanita@example.org,+1-492-629-6407x0413,57,Male
CUST-0142,Alexis Little,conniewalter@example.net,(885)479-4629x2547,18,Male
CUST-0143,Helen Douglas,troy29@example.org,(831)614-9130x3265,22,Female
CUST-0144,Dr. Steven Jones,nelsondavid@example.com,723-883-2443x0075,59,Female
CUST-0145,Courtney Walker,taylorkelli@example.net,452.230.1437x975,73,Male
CUST-0146,Emma Duarte,dbutler@example.org,+1-218-298-2382x6916,77,Male
CUST-0147,Ronald Mcdaniel,ostanley@example.net,4773903990,37,Female
CUST-0148,Christine Wilcox,calvin55@example.net,001-868-867-8948x33444,39,Male
